,num,3,6,9,,3,6,9,linear,3,6,9
0,12,28.24,117.03,106.86,,38.38,74.25,132.76,,32.13,76.55,95.95
1,18,27.56,71.7,64.93,,27.14,72.93,90.69,,25.43,59.22,79.09
2,14,35.51,53.31,64.67,,29.2,33.49,73.75,,23.99,45.45,67.59
3,20,15.91,34.72,29.59,,14.93,25.68,36.46,,14.78,25.88,35.59
4,17,26.87,42.2,63.55,,21.63,26.26,53.33,,20.17,37.39,51.99
5,35,41.03,58.42,87.79,,44,68.48,105.62,,37.6,66.78,77
6,31,44.66,59.24,111.02,,46.86,79.59,142.81,,38.62,74.43,106
7,15,25.21,58.55,64.48,,20.53,51.49,69.04,,17.43,49.16,56.01
8,17,25.18,34.62,29.53,,15.9,36.01,45.37,,15.15,27.96,33.38
9,27,31.25,56.18,71.64,,41.09,65.24,84.51,,39.79,52.04,70.97
10,21,39.86,43.44,48.84,,28.67,43.65,81.31,,32.04,50.59,64.73
11,18,24.87,44.48,41.22,,21.01,47.56,61.76,,19.08,40.46,53.95
12,13,37.58,29.12,57.97,,28.43,57.48,62.89,,25.61,51.04,56.17
13,13,17,15.45,20,,13.78,15.07,16.07,,13.48,19.47,22.39
14,20,22.77,45.77,41.4,,21.4,39.56,57.16,,21.44,37.2,52.07
15,17,32.55,60.43,48.74,,28.35,43.65,78.87,,24.26,44.94,57.82
16,19,15.79,19.71,31.29,,13.52,21.32,33.98,,11.57,22.59,32.24
17,20,11.02,11.79,23.43,,14.72,12.25,34.72,,12.93,22.65,30.06
18,36,27.19,29.47,62.69,,26.93,42.63,124.92,,20.53,36.48,52.45
19,14,9.41,9.18,8.39,,10.98,12.31,13.08,,11.55,14.75,22.03
20,21,14.12,30.31,39.73,,23.84,22.56,46.65,,23.94,37.81,51.57
21,16,12.18,69.27,63.96,,32.95,48.07,82.33,,19.87,37.97,54.25
22,37,13.14,11.21,11,,9.14,13.49,14.16,,9.17,11.77,13.43
23,18,24.04,73.17,59.9,,30.03,45.01,49.43,,29.18,44.31,49.57
24,36,23.79,18.17,61.88,,30.87,39.72,134.52,,17.8,37.63,48.69
25,36,16.79,4.69,17.62,,12.78,7.49,52.08,,6.79,11.16,14.49
26,36,9.13,11.57,21,,4.71,15.94,8.25,,6.7,11.97,13.66
27,15,4.86,6.76,7.22,,7.27,10.61,11.37,,8.49,13.98,20.21
28,16,23,62.01,72.55,,32.26,50.31,77.22,,27.42,49.54,66.36
29,21,16.25,40.43,47.22,,17.27,36.23,60.82,,14.9,32.38,55.92
30,22,32.08,82.44,78.06,,36.57,72.37,115.27,,31.43,57.12,98.82
31,27,7.76,18.31,32.47,,15.66,10.96,46.74,,12.57,22.58,26.47
32,23,7.04,18.74,17.39,,9.1,6.24,21.49,,10.6,15.12,21.24
33,31,6.13,47.31,6.39,,3.71,14.17,6.7,,5.49,10.13,13.15
34,28,19.85,56.2,44.28,,21.02,35.99,61.15,,19.89,36.62,38.63
35,19,8.93,14.82,18.54,,8.35,7.53,20.7,,8.68,13.54,19.25
36,18,26.66,67.2,65.44,,41.29,79.82,95.83,,34.73,62.11,79.59
37,28,14.82,22.48,32.43,,7.92,11.37,38.98,,10.18,18.2,24.57
38,13,29.82,22.9,71.66,,29.09,47.01,57.85,,24.14,51.51,70.75
39,28,42.27,99.03,83.68,,29.68,62.05,104.94,,31.31,59.73,75.49
40,15,31.55,37,56.01,,30.54,35.39,71.34,,23.95,46.17,60.29
41,36,15.45,11.95,31.39,,16.64,21.14,74.35,,11.56,22.56,31.38
42,8,18.71,6.84,7.2,,5.64,7.63,10.92,,10.87,16.51,16.18
43,14,4.95,8.92,5.59,,6.49,7.98,9.86,,8.08,12.1,19.51
44,20,6.99,7.03,11.58,,8.21,9,12.65,,7.79,11.77,14.95
45,19,40.19,35.97,77.51,,26.01,41.06,73.57,,27.09,52.8,61.74
46,23,11.62,25.82,26.54,,26.7,19.71,62.17,,22.86,34.32,45.04
47,36,14.22,55.82,12.44,,7.98,16.23,8.36,,7.91,15.92,19.99
48,38,13.69,50.62,12.74,,8.21,15.79,9.61,,9.22,16.55,19.7
49,22,16.34,12.03,48.81,,16.13,23.38,60.74,,15.55,18.23,33.68
50,18,29.28,18.64,27.5,,17.97,11.16,61.64,,16.54,27.43,29.85
51,18,13.61,24.26,37.17,,13.54,28.57,28.81,,12.27,21.65,28.23
52,18,16.84,88.58,119.53,,35.04,68.48,84.48,,25.45,48.51,62.65
53,24,11.47,11.34,23.78,,5.79,19.94,13.05,,7.6,12.11,17.33
54,29,14.89,53.69,57.11,,24.52,21.41,54.19,,19.89,30.58,33.93
55,21,23.21,43.47,60.63,,21.41,55.09,56.41,,16.64,38,55.66
56,19,9.76,8.37,14.92,,5.86,15.8,10.26,,8.49,11.77,17.66
57,23,49.12,8.28,40.26,,27.03,24,52.42,,11.03,20.61,25.25
58,12,31.3,54.21,117.41,,21.08,41.66,55.52,,25.71,50.41,61.39
59,18,21.27,51.1,93.79,,21.39,52.19,70.87,,17.36,31.63,53.98
60,18,19.73,46.76,101.63,,17.95,50.29,67.58,,14.13,27.18,51.8
61,16,11.28,22.18,52.15,,6.91,21.77,21.52,,7.27,13.67,21
62,23,6.77,9.76,11.82,,10.54,10.28,12.81,,6.74,9.84,12.01
63,30,12.84,31.39,37.34,,13.43,24.78,46.32,,11.77,20.56,24.32
64,18,12.39,41,78.69,,22.62,42.07,71.45,,11.4,21.27,30.99
65,12,11.74,19.8,30.36,,17.01,28.79,57.23,,12.24,20.06,26.72
66,33,4.38,12.89,11.42,,8.36,9.47,19.86,,6.46,9.74,11.74
67,29,10.12,24.32,33.66,,15.76,41.6,48.68,,13.46,23.1,32.11
68,10,4.91,9.21,19.29,,16.15,13.7,48.04,,7.71,13.24,16.47
69,32,29.51,77.46,84.57,,33.35,82.16,128.71,,28.26,54.74,68.67
70,19,13.05,8.57,18.89,,6.24,17.44,13.8,,7.36,11.81,18.02
71,21,32.46,41.92,71,,19.3,79.13,68.06,,17.93,33.7,54.05
72,18,12.07,18.71,33.96,,19.85,21.91,39.49,,13.02,25.2,29.86
73,21,23.22,20.2,67.35,,23.98,35.14,54.61,,15.53,33.65,45.98
74,35,9.82,15.3,24.62,,6.15,9.6,13.37,,7.25,11.02,13.31
75,31,27.22,53.57,61.28,,25.79,45.54,66.61,,21.58,47.57,61.92
76,30,12.95,11.67,20.54,,6.82,11.66,8.82,,8.48,10.65,12.14
77,15,10.67,19.43,30.61,,9.01,22.39,34.61,,8.38,17.54,19.13
78,27,9.85,16.12,21.72,,6.6,19.41,26.29,,7.74,19.29,26.96
79,21,10.41,7.92,37.45,,5.9,12.15,16.15,,7.86,15.84,22.43
80,30,15.23,15.48,21.64,,11.61,16.33,16.31,,12.4,16.73,18.05
81,20,17.5,42.33,53.89,,23.55,29.03,56.98,,15.06,27.09,37.04
82,22,35.97,57.21,81.59,,32.45,78.21,99.62,,27.4,63.88,100.59
83,30,12.95,26.73,78.72,,13.71,27.22,46.83,,17.38,26.74,41
84,13,18.39,28.68,53.87,,15.33,56.44,36.5,,15.26,27.31,33.81
85,16,19.38,32.12,44.25,,18.19,37.81,55.74,,12.37,23.5,28.3
86,22,5.58,5.75,6.83,,4.97,7.55,6.32,,5.09,5.97,6.91
87,21,11.79,16.87,71.29,,12.42,24.83,33.97,,13.17,27.1,33.25
88,21,12.75,21.85,35.25,,8.76,24.4,35.32,,11.29,25.33,35.22
89,21,11.97,3.35,25.62,,8.8,19.41,8.36,,6.77,12.46,13.05
90,33,11.15,25.66,64.66,,17.36,29.88,51.56,,14.17,22.22,34.47
91,30,14.8,21.47,26.14,,15.56,24.38,35.36,,14.04,21.72,29.52
92,18,9.68,26,20.13,,12.25,22.6,25.57,,8.64,15.23,18.63
93,31,14.95,8.31,30.05,,9.78,10.95,14.72,,11.88,14.22,15.55
94,21,33.48,24.12,48.49,,25.73,55.28,66.03,,16.81,33.32,42.65
95,20,12.27,23.85,47.44,,16.95,32.15,58.79,,11.84,22.72,32.41
96,15,13.64,34.67,44.7,,13.86,26.05,46.38,,13.45,21.67,22.45
97,31,7.19,15.5,22.18,,6.21,15.81,22.34,,7.16,15.73,24.15
98,19,10.07,6.65,25.4,,7.18,10.23,15.22,,6.98,13.85,21.29
99,20,13.04,13.13,45.89,,11.16,17.07,35.73,,9.43,18.77,26.08
100,25,5.98,13.25,40.82,,7.27,14.05,19.06,,8.36,15.32,19.47
101,30,8.7,7.57,14.64,,4.6,7.97,8.68,,7.26,7.58,9.73
102,32,24.39,54.01,93.43,,29.87,38.72,74.39,,23.69,34.97,47.15
103,18,17.64,23.38,40.47,,12.07,33.5,42.59,,13.15,31.15,41.33
104,34,20.83,29.95,68.4,,25.92,42.88,50.3,,19.45,26.71,39.94
105,18,13.07,20.58,22.25,,11.49,38.84,20.7,,12.28,21.66,27.51
106,27,35.4,62.13,73.74,,29.49,65.53,89.58,,24.6,64.04,85.31
107,29,9.79,11.16,23.97,,8.51,12.07,22.16,,6.52,11.18,16.43
108,10,16.56,43.31,66.31,,28.13,37.55,57.18,,19.93,35.97,57.92
109,10,6.17,15.82,22.8,,6.51,14.48,19.02,,6.29,13.87,19.5
110,16,18.62,17.13,16.14,,11.04,22.05,28.59,,10.72,16.07,21.16
111,10,1.45,1.63,15.65,,1.86,2.15,14.82,,2.96,9.48,7.46
112,9,18.67,55.93,53.74,,19.98,44.28,70.66,,19.07,37.39,58.22
113,10,22.37,76.59,93.59,,28.5,53.09,123.64,,25.15,58.09,76.92
114,9,32.94,68.88,89.03,,34.68,68.11,103.18,,27.83,61.89,85.13
115,11,5.05,9.58,19.21,,6.53,15.25,18.55,,6.21,9.97,14.04
116,9,18.77,43.16,49.95,,17.9,38.28,59.24,,19.28,36.45,49.61
117,7,23.14,55.52,129.21,,32.04,69.6,146.23,,32.55,63.9,92.38
118,9,26.57,56.72,81.03,,27.02,52.79,82.5,,24.21,52.3,68.82
119,19,16.64,47.62,68.9,,26.08,48.77,57.53,,21.38,35.45,52.69
120,10,11.69,29.25,43.02,,12.53,28.18,36.77,,12.14,23.32,34.29
121,19,13.63,54.01,43.07,,18.96,44.94,74.05,,16.69,34.8,46.31
122,18,15.42,62.13,57.39,,19.65,57.38,86.78,,17.82,40.57,64.79
123,10,38.34,15,31.15,,17.03,21.68,27.97,,16.58,26.12,29.24
124,9,21.39,33.14,76.41,,26.12,33.6,77.02,,21.42,40.82,57.91
125,10,20.58,53.08,74.68,,29.67,68.18,78.04,,22.46,53.3,67.93
126,10,27.09,71.02,101.12,,24.27,93.88,109.57,,30.43,68.97,87.06
127,16,17.78,35.34,46.41,,19.65,35.8,52.06,,19.72,31.33,41.44
128,9,11.91,17.05,33.76,,11.86,36.56,38.44,,12.75,24.81,34.62
129,16,27.69,62.31,95.88,,27.44,62.2,110.62,,20.51,54.87,85.94
130,15,5.02,10.82,15.14,,13.58,24.23,29.03,,8.55,12.82,15.18
131,12,7.98,19,43.3,,11.85,22.07,44.13,,11.41,24.26,33.61
132,17,19.64,33.26,41.05,,19.59,34.77,59.2,,17.36,26,31.69
133,16,12.24,23.33,28.33,,9.23,17.06,24.71,,8.45,16.72,21.38
134,9,7.05,14.38,20.14,,7.89,10.6,18.27,,7.5,12.78,16.08
135,8,6.83,7.79,27.63,,7.68,24.11,19.97,,7.79,15.45,15.14
136,15,18.58,51.65,70.42,,22.6,36.17,56.8,,18.76,35.37,44.21
137,14,27.82,43,60.02,,29.4,42.24,71.82,,29.35,47.48,62.94
138,9,13.54,28.79,53.33,,21.17,27.02,47.23,,16.35,28.16,36.39
139,16,8.94,19.81,19.02,,8.02,20.1,25.46,,10,16.16,18.2
140,15,9.5,15.11,28.11,,16.25,25.19,25.54,,11.08,20.9,24.55
141,7,4.06,11.27,17.92,,2.67,12.1,24.97,,2.08,9.73,10.75
142,23,8.42,38.28,6.21,,13.24,13.23,57.14,,12.38,21.3,26.55
143,10,26.86,7.53,44.92,,17.62,18.93,40.05,,18.5,30.21,35.77
144,16,12.21,6.22,14.75,,8.49,23.38,20.41,,8.56,13.42,17.67
145,21,22.44,45.23,42.23,,23.06,46.81,59.67,,19.65,40.5,45.96
146,22,7.02,25.32,5.2,,7.29,8.45,33.32,,8.68,14.36,14.35
147,18,24.56,63.86,50.54,,26.71,46.49,71.72,,25.62,41.37,53.67
148,13,12.75,60.82,69.48,,31.45,62.27,78,,19.92,39.72,57.2
149,18,17.02,11.61,23.01,,12.04,20.38,29.65,,9.69,26.62,27.21
150,13,21.64,46.21,64.53,,16.03,33.36,55.1,,16.84,31.91,36.86
151,16,11.82,14.23,13.83,,6.54,8.46,18.93,,6.3,9.76,12.73
152,18,10.49,18.54,32.88,,10.02,15.66,27.3,,8.72,15.96,24.92
153,22,32.45,35.31,35.9,,23.2,28.31,53.41,,18.09,29.28,34.87
154,16,15.61,16.21,13.32,,4.31,6.31,23.43,,10.71,15.31,19.57
155,21,17.19,13.52,16.54,,6.61,8.63,15.34,,6.17,11.48,15.99
156,13,7.75,27.72,38.87,,10.11,24.69,28.75,,11.07,23.24,34.21
157,17,9.33,9.3,32.97,,12.04,22.51,47.59,,12.08,16.53,20.8
158,17,12.35,12.99,18.13,,5.4,18.36,22.62,,6.89,17.97,27.12
159,18,28.57,63.48,105.92,,30.68,82.37,123.79,,24.55,57.15,88.6
160,12,20.7,52.33,53.34,,20.12,36.99,53.12,,19.79,34.75,43.94
161,16,14.26,34.36,53.03,,21.89,27.41,81.14,,17.44,30.81,44.25
162,17,17.38,19.82,40.37,,7.14,15.19,37.28,,11.29,21.64,35.93
163,22,31.97,22.67,36.63,,19.04,28.01,51.16,,17.86,34.36,49.25
164,23,21.15,14.15,18.45,,7.63,11.62,17.76,,7.07,14.48,16.84
165,15,11.93,28.47,28.22,,7.69,14.95,24,,8.13,14.3,19.89
166,15,8.53,12.71,25.88,,4.93,8.18,17.02,,6.5,10.75,17.05
167,16,17.44,31.13,66.44,,16.45,48.22,58.61,,17.44,38.73,50.05
168,17,4.89,6.4,8.38,,7.63,10.11,7.85,,4.67,9.72,10.76
169,15,13.65,13.06,23.22,,14.21,23.56,31.23,,15,26.77,33.04
170,21,18.72,12.65,37.37,,13.76,16.74,30.06,,11.48,17.37,26.37
171,21,32.33,33.91,55.41,,24.81,41.69,53.49,,25.21,38.8,49.28
172,15,12.77,25.58,33.47,,8.94,16.29,29.49,,9.99,22.03,24.44
173,14,20.87,8.08,25.33,,18.58,22.2,29.53,,14.21,24.79,27.54
174,19,21.82,36.51,69.28,,9.45,31.74,40.7,,18.31,35.18,44.45
175,22,28.24,21.07,46.71,,12.74,24.06,42.83,,13.57,23.27,29.3
176,19,8.35,20.74,22.21,,10.66,13.36,26.87,,8.6,16.9,20.75
177,18,22.31,31.19,65.62,,13.78,37.11,40.11,,17.98,35.02,48.63
178,17,13.52,24.71,26.41,,13.4,22.7,31.07,,13.6,25.62,29.9
179,14,3.74,27.54,93.69,,9,23.13,93.4,,8.75,20.62,30.34
180,18,13.1,31.66,39.58,,17.81,25.77,60.2,,13.47,27.25,32.99
181,17,6.2,5.33,27.12,,5.39,8.55,28.45,,6.6,8.71,10.94
182,20,21.79,26.06,36.36,,36.44,40.66,52.93,,31.86,33.5,46.98
183,14,12.14,9.13,13,,9.4,18.38,18.98,,9.34,18.82,22.41
184,17,16.73,36.42,47.95,,13.73,27.45,62.51,,17.02,28.8,27.43
185,14,12.95,35.5,82.66,,13.06,35.25,58.74,,14.82,40.02,56.51
186,16,11.28,13.47,19.16,,5.72,14.08,22.46,,6.94,15.43,24.03
187,19,17.28,18.22,30.7,,13.74,27.77,33.12,,11.75,25.06,30.8
188,16,19.02,50.21,54.29,,14.04,37.94,46.65,,16.87,31.54,34.03
189,20,7.69,14.13,18.41,,14.99,21.54,33.13,,12.98,18.48,23.64
190,18,25.17,63.59,94.13,,23.59,81.25,117.62,,19.62,52.87,83.58
191,18,11.02,23.38,51.09,,12.03,11.78,57.37,,13.67,21.64,30.68
192,19,13.67,32.72,31.76,,14.71,19.65,38.37,,13.73,27.13,31.41
193,14,10.06,3.58,10.71,,8.47,10.99,14.13,,6.63,12.26,13.43
194,19,10.21,24.03,44.82,,17.97,21.37,43.39,,13.07,27.06,32.92
195,22,32.94,33.14,48.82,,24.99,35.75,56.13,,27.14,39.58,56.22
196,17,19.6,20.5,44.48,,22.83,35.59,63.45,,23.78,30.1,34.32
197,21,34.73,40.77,89.39,,30,72.72,96.15,,27.67,49.37,80.08
198,18,25.16,66.61,87.18,,26.82,86.99,111.01,,21.83,46.87,75.56
199,18,12.91,34.35,40.47,,16.32,24.8,57.13,,12.36,27.95,31.29
200,18,6.76,20.54,14.26,,6.4,12.62,17.36,,7.59,10.5,14.77
201,17,31.45,60.58,85.35,,29.88,63.44,108.73,,30.32,62.81,87.38
202,14,13.9,25.8,34.54,,9.04,15.01,28.36,,7.02,13.42,18.51
203,18,12.88,8.9,14.77,,6.28,10.84,26.22,,6.62,15.73,18.43
204,20,12.95,8.82,19.32,,7.62,12.9,16.35,,9.01,15.05,20.51
205,18,22.58,28.56,41.4,,18.97,43.18,107.72,,13.62,34.99,41.69
206,21,14.03,13.41,22.72,,6.06,10.33,18.62,,5.92,10.56,15.95
207,21,10.25,11.15,12,,6.25,13.18,13.68,,6.49,10.51,11.29
208,22,37.81,47.48,71.33,,26.54,68.06,93.1,,26.16,50.43,76.56
209,18,10.97,38.62,43.25,,14.39,23.64,40.69,,11.52,29,27.25
210,14,9.23,10.93,28.48,,12.36,21.92,50.93,,11.82,16.69,21.88
211,15,8.96,32.07,40.16,,15.52,33.41,37.51,,12.01,27.34,38.22
212,21,12.29,13.74,17.84,,5.54,13.2,29.45,,7.88,22.7,23.43
213,18,22.67,28.42,47.66,,20.88,23.99,57.11,,19.9,29.52,32.88
214,9,32.37,37.47,64.12,,21.4,41.23,42.89,,26.64,45.43,45.85
215,16,7.74,32.22,12.58,,8.89,10.41,10.66,,8.27,9.7,10.2
216,13,11.56,22.92,48.5,,14.36,55.82,52.28,,9.97,20.08,29.84
217,18,12.75,32.22,48.78,,14.64,29.72,44.72,,14.27,32.41,45.61
218,24,16.71,14.88,34.07,,21.3,38.48,43.79,,12.18,19.11,20.04
219,16,26.21,63.67,90.18,,28.9,59.53,83.05,,28.01,53.03,76.9
220,9,22.73,11.26,5.15,,4.8,12.77,9.62,,9.24,11.56,14.78
221,9,27.48,79.86,65.74,,25.96,38.66,68.92,,23.23,51.15,70.53
222,16,27.1,64.44,99.29,,31.35,66.11,97.47,,28.89,62.23,84.39
223,22,16.35,25.58,51.07,,19.76,36.96,41.56,,15.76,33.3,38.43
224,15,22.21,41.27,14.07,,6.54,9.65,15.21,,16.63,16.43,22
225,23,11.9,5.04,17.73,,4.9,7.85,14.29,,7.67,12.6,15.21
226,9,3.11,12.51,14.37,,8.95,20.29,32.95,,7.02,13.82,20.46
227,15,14.55,17.5,37.31,,12.63,9.87,21.11,,14.35,23.9,23.46
,,,,,,,,,,,,
mean,,17.62903509,30.93973684,44.23741228,,16.9304386,31.21302632,48.96807018,,15.36157895,,